,year_dT,year_dP,DecFeb_dT,DecFeb_dP,MarMay_dT,MarMay_dP,JunAug_dT,JunAug_dP,SepNov_dT,SepNov_dP,year_dP_var,DecFeb_dP_var,MarMay_dP_var,JunAug_dP_var,SepNov_dP_var
bcc_csm2_mr_ssp245_2021,2.086273193359375,4.796087741851807,2.372528076171875,7.271933555603027,2.22271728515625,9.862864017486572,1.879852294921875,0.8928060531616211,1.86993408203125,2.0521163940429688,2.910267951408785,4.80032801181518,5.877374289055171,-1.6302763197952874,1.72754169509155
bcc_csm2_mr_ssp370_2021,1.969482421875,4.968404769897461,2.415252685546875,8.995616436004639,1.981231689453125,17.223119735717773,1.79278564453125,-4.304230213165283,1.68853759765625,-0.04894137382507324,-0.2681099442102819,2.72828670951617,-4.081909956577312,2.0957263371955914,-1.0482839275158806
bcc_csm2_mr_ssp585_2021,2.2593994140625,8.41221809387207,3.158477783203125,13.112103939056396,2.534332275390625,14.31872844696045,1.608917236328125,2.7107954025268555,1.736053466796875,4.60430383682251,2.516934101273427,0.7850230580928041,-0.7823080825443252,1.3545249572213036,0.40154525966435983
bcc_csm2_mr_ssp126_2041,1.74041748046875,8.404910564422607,2.649169921875,12.272274494171143,1.193023681640625,19.72438097000122,1.66253662109375,4.2136549949646,1.456878662109375,-0.26525259017944336,-4.504300996525979,1.6304832087651322,5.445325882627405,-4.104521103683645,5.5526600557480155
bcc_csm2_mr_ssp245_2041,2.75384521484375,4.79809045791626,3.50634765625,17.399585247039795,2.4549560546875,9.767043590545654,2.408843994140625,-11.19658350944519,2.645294189453125,3.784501552581787,-2.8921726670541714,-2.5977773740958776,2.215070000926911,0.009115271989479368,7.206782148654689
bcc_csm2_mr_ssp370_2041,2.955780029296875,9.656727313995361,3.773406982421875,14.94288444519043,2.282623291015625,17.631924152374268,2.541412353515625,-3.4762144088745117,3.22589111328125,10.320711135864258,-2.8765947560722815,5.5893623734006415,-0.015752144109981714,3.0566030626702823,-1.162003781733234
bcc_csm2_mr_ssp585_2041,3.40228271484375,13.221979141235352,4.6517333984375,20.473194122314453,3.436553955078125,22.158479690551758,2.615997314453125,-0.0016748905181884766,2.90484619140625,11.436319351196289,-3.3373932899469883,0.24311362124576075,-3.9337758911335285,1.9200949849527804,1.9879723727186382
bcc_csm2_mr_ssp126_2081,2.410064697265625,10.004675388336182,3.636505126953125,13.93728256225586,1.998291015625,18.954741954803467,1.6488037109375,7.400572299957275,2.35662841796875,1.7267465591430664,0.5317539003732774,-3.3315209497418175,0.9235452475716999,-0.9239677060780327,-1.8204249774083192
bcc_csm2_mr_ssp245_2081,3.285675048828125,5.713379383087158,4.43310546875,18.18997859954834,3.41937255859375,7.848799228668213,2.638092041015625,-1.2310802936553955,2.652099609375,-1.029890775680542,2.334363622898339,0.8579244839506561,0.9968051573793657,10.01711656917621,5.346567632092136
bcc_csm2_mr_ssp370_2081,5.374481201171875,12.018275260925293,7.152862548828125,27.634906768798828,5.175933837890625,21.837985515594482,4.2012939453125,-10.209333896636963,4.967864990234375,10.023152828216553,-2.9315142486597168,2.1313924193447242,2.2757964806706887,5.508261398951553,6.59603757016709
bcc_csm2_mr_ssp585_2081,5.264373779296875,15.946996212005615,7.1173095703125,35.82030534744263,4.451324462890625,30.832672119140625,4.3602294921875,-8.039414882659912,5.12872314453125,7.688164710998535,-2.98471487051033,1.1287812285678545,-1.3916123121945567,6.559536993885917,1.3571043865255428
bcc_esm1_ssp126_2021,,,,,,,,,,,,,,,
bcc_esm1_ssp245_2021,,,,,,,,,,,,,,,
bcc_esm1_ssp370_2021,,,,,,,,,,,,,,,
bcc_esm1_ssp585_2021,,,,,,,,,,,,,,,
bcc_esm1_ssp126_2041,,,,,,,,,,,,,,,
bcc_esm1_ssp245_2041,,,,,,,,,,,,,,,
bcc_esm1_ssp370_2041,,,,,,,,,,,,,,,
bcc_esm1_ssp585_2041,,,,,,,,,,,,,,,
bcc_esm1_ssp126_2081,,,,,,,,,,,,,,,
bcc_esm1_ssp245_2081,,,,,,,,,,,,,,,
bcc_esm1_ssp370_2081,,,,,,,,,,,,,,,
bcc_esm1_ssp585_2081,,,,,,,,,,,,,,,
cams_csm1_0_ssp126_2021,,,,,,,,,,,,,,,
cams_csm1_0_ssp245_2021,,,,,,,,,,,,,,,
cams_csm1_0_ssp370_2021,,,,,,,,,,,,,,,
cams_csm1_0_ssp585_2021,,,,,,,,,,,,,,,
cams_csm1_0_ssp126_2041,,,,,,,,,,,,,,,
cams_csm1_0_ssp245_2041,,,,,,,,,,,,,,,
cams_csm1_0_ssp370_2041,,,,,,,,,,,,,,,
cams_csm1_0_ssp585_2041,,,,,,,,,,,,,,,
cams_csm1_0_ssp126_2081,,,,,,,,,,,,,,,
cams_csm1_0_ssp245_2081,,,,,,,,,,,,,,,
cams_csm1_0_ssp370_2081,,,,,,,,,,,,,,,
cams_csm1_0_ssp585_2081,,,,,,,,,,,,,,,
canesm5_ssp126_2021,2.119720458984375,5.484127998352051,1.9405517578125,8.24042558670044,1.722808837890625,11.211693286895752,2.466827392578125,1.6782164573669434,2.348541259765625,3.5505294799804688,6.381106983586471,4.1942895563771065,7.662182666628348,0.6063607348407274,11.554139078214698
canesm5_ssp245_2021,,,,,,,,,,,8.955441089125117,-2.2539820840788316,-3.0061184763336746,-2.8848541312200937,-2.481001090316004
canesm5_ssp370_2021,,,,,,,,,,,11.290648325558594,6.973358710086175,6.2322390103999314,13.430617512065556,12.399096261496023
canesm5_ssp585_2021,2.706512451171875,9.351670742034912,3.157501220703125,10.304057598114014,2.134735107421875,16.284120082855225,2.55572509765625,7.3157548904418945,2.978118896484375,6.208038330078125,21.93163803409861,-1.6496551582636187,-1.2267469814481347,1.1881747099644402,25.158963040301565
canesm5_ssp126_2041,3.067169189453125,14.08611536026001,2.9798583984375,13.422727584838867,2.547119140625,32.871174812316895,3.05657958984375,6.771194934844971,3.68511962890625,10.380423069000244,4.743037176857512,1.2433065958684653,-0.29041344184682627,1.2370770291932232,7.655256216505757
canesm5_ssp245_2041,,,,,,,,,,,-0.3602504634121262,-0.34526445356146684,2.541362641280731,-3.163828333810237,11.851322096848559
canesm5_ssp370_2041,,,,,,,,,,,4.667312856987604,-7.317471171186263,16.404152511154855,3.4613240988305316,9.805674092485184
canesm5_ssp585_2041,4.34820556640625,19.638001918792725,4.4432373046875,27.867913246154785,3.6094970703125,39.203548431396484,4.445281982421875,3.5891056060791016,4.894927978515625,17.457377910614014,8.398833984153331,-0.365877135966608,4.787513437381552,4.00890705359338,12.02365626092854
canesm5_ssp126_2081,3.219696044921875,19.62580680847168,3.46942138671875,18.057167530059814,2.780059814453125,33.693015575408936,3.2825927734375,9.771120548248291,3.3465576171875,22.658979892730713,-7.803387304608334,-0.48869488793612526,-1.6928241236400798,-7.575639999113459,7.587081854045419
canesm5_ssp245_2081,,,,,,,,,,,7.663642707288831,0.6727060184906986,1.814797731010187,3.2833041755455206,8.527830262950452
canesm5_ssp370_2081,,,,,,,,,,,-0.26419060263462857,3.3116712894431632,-3.4227107851066085,0.5955578485957291,17.89345172006844
canesm5_ssp585_2081,8.046295166015625,35.804009437561035,8.259521484375,61.312198638916016,6.812255859375,69.06826496124268,8.59613037109375,3.369021415710449,8.517425537109375,27.87175178527832,7.821495470638551,7.221552268119535,12.705570954515233,18.740723686861838,14.016597139652909
canesm5_canoe_ssp126_2021,,,,,,,,,,,,,,,
canesm5_canoe_ssp245_2021,,,,,,,,,,,,,,,
canesm5_canoe_ssp370_2021,,,,,,,,,,,,,,,
canesm5_canoe_ssp585_2021,,,,,,,,,,,,,,,
canesm5_canoe_ssp126_2041,,,,,,,,,,,,,,,
canesm5_canoe_ssp245_2041,,,,,,,,,,,,,,,
canesm5_canoe_ssp370_2041,,,,,,,,,,,,,,,
canesm5_canoe_ssp585_2041,,,,,,,,,,,,,,,
canesm5_canoe_ssp126_2081,,,,,,,,,,,,,,,
canesm5_canoe_ssp245_2081,,,,,,,,,,,,,,,
